iter	MultiClass
0	1.214138829
1	0.9799270625
2	0.8167104534
3	0.6927648655
4	0.5953100523
5	0.5156692624
6	0.4497553586
7	0.3945859568
8	0.3479748537
9	0.3065715904
10	0.2716243246
11	0.2420561247
12	0.2151964491
13	0.1918568266
14	0.171425223
15	0.1539926234
16	0.137807987
17	0.1237044214
18	0.1113141533
19	0.09982280942
20	0.09008614757
21	0.08148827914
22	0.07378246739
23	0.0667058838
24	0.06039303353
25	0.05481611365
26	0.0498857176
27	0.04535242655
28	0.04118419132
29	0.0375386481
30	0.03422450616
31	0.03134397229
32	0.02882792593
33	0.02635471126
34	0.02421674668
35	0.02227953784
36	0.02053556696
37	0.01905439419
38	0.01756353788
39	0.01615481842
40	0.01509510252
41	0.01399541645
42	0.0131256242
43	0.01234444336
44	0.01142541176
45	0.010768313
46	0.010002001
47	0.009338318338
48	0.008948401046
49	0.008455853308
50	0.008202239449
51	0.007920978135
52	0.007413259411
53	0.007024247927
54	0.0066736326
55	0.006364524457
56	0.006166613696
57	0.005976496876
58	0.005670907804
59	0.005458725232
60	0.005315538666
61	0.005107226657
62	0.004979623052
63	0.00483130176
64	0.004750373986
65	0.004628392866
66	0.00448821051
67	0.004431748978
68	0.00436431673
69	0.004234490549
70	0.004154803028
71	0.00404776599
72	0.003993143915
73	0.003889378148
74	0.003880057298
75	0.003819245781
76	0.003760039887
77	0.003633460414
78	0.00361958692
79	0.003531385236
80	0.00349535394
81	0.003392374147
82	0.003337405352
83	0.003278433976
84	0.003265439973
85	0.003195646628
86	0.003146473662
87	0.003107430081
88	0.003013274528
89	0.002996321602
90	0.002972611428
91	0.002947023063
92	0.002944077616
93	0.002931164287
94	0.002876756324
95	0.002855066232
96	0.002800657968
97	0.002762539797
98	0.002743505454
99	0.002681252251
100	0.002628197252
101	0.002603566133
102	0.002589998074
103	0.002575698403
104	0.002515303628
105	0.002495820719
106	0.002489944494
107	0.002473264499
108	0.00244783835
109	0.002357483988
110	0.002332312152
111	0.00229564648
112	0.002265329377
113	0.002250683493
114	0.002222217903
115	0.002195961103
116	0.002177148632
117	0.002099729951
118	0.002090560556
119	0.002079754094
120	0.002056298368
121	0.002037463143
122	0.002027021194
123	0.002014733181
124	0.002010519666
125	0.001968360089
126	0.001952663349
127	0.001950563541
128	0.001935310347
129	0.001926620658
130	0.001910992325
131	0.001903588753
132	0.001897292493
133	0.001891951626
134	0.001890671093
135	0.001861326474
136	0.001847323576
137	0.001825484576
138	0.001815265183
139	0.001811977127
140	0.001806224199
141	0.001800442562
142	0.001790945277
143	0.001782393196
144	0.001779827359
145	0.001777654145
146	0.001761645439
147	0.001745243151
148	0.001739934476
149	0.001734624765
150	0.001727343169
151	0.001716637268
152	0.001693266904
153	0.001675680335
154	0.001667718787
155	0.001666966849
156	0.001665806647
157	0.001653766654
158	0.001644476163
159	0.001643744484
160	0.001640333653
161	0.001637930958
162	0.001636655366
163	0.001633302465
164	0.001629905343
165	0.001621041186
166	0.001616526002
167	0.001612779947
168	0.001602601224
169	0.001601999823
170	0.001578703504
171	0.001570650301
172	0.001570189578
173	0.001563443584
174	0.001563015309
175	0.001560556686
176	0.001557681523
